ID_REF	VALUE
TC01000001.hg.1	5.5066936794045
TC01000002.hg.1	5.06603937547406
TC01000003.hg.1	3.34389202890464
TC01000004.hg.1	4.00802489426552
TC01000005.hg.1	8.3694769297857
TC01000006.hg.1	11.6739014760904
TC01000007.hg.1	11.2774813136958
TC01000008.hg.1	7.69775752391354
TC01000009.hg.1	3.49787722359712
TC01000010.hg.1	5.38156196092693
TC01000011.hg.1	6.3641394147653
TC01000012.hg.1	5.0508180605632
TC01000013.hg.1	8.0390777124524
TC01000014.hg.1	4.42886142106782
TC01000015.hg.1	6.03679874391064
TC01000016.hg.1	5.98999182061241
TC01000017.hg.1	5.49063098368707
TC01000018.hg.1	7.09898201315601
TC01000019.hg.1	6.36475591329028
TC01000020.hg.1	6.70975893005358
TC01000021.hg.1	6.35241109134967
TC01000022.hg.1	6.47607232304794
TC01000023.hg.1	6.62296595868662
TC01000024.hg.1	6.98992872305067
TC01000025.hg.1	6.9970254090927
TC01000026.hg.1	5.93741741216524
TC01000027.hg.1	4.56656805352706
TC01000028.hg.1	3.41131709464417
TC01000029.hg.1	3.28400401334466
TC01000030.hg.1	6.2913506006794
TC01000031.hg.1	6.56055535483725
TC01000032.hg.1	6.40279738018604
TC01000033.hg.1	6.45537002862973
TC01000034.hg.1	6.96183578478187
TC01000035.hg.1	6.01615305398551
TC01000036.hg.1	6.24239854018152
TC01000037.hg.1	6.68376338521594
TC01000038.hg.1	7.01641297633931
TC01000039.hg.1	4.69441877533381
TC01000040.hg.1	6.8357779924911
TC01000041.hg.1	6.10766194634033
TC01000042.hg.1	6.69234981778043
TC01000043.hg.1	6.80992178120688
TC01000044.hg.1	5.19289170301209
TC01000045.hg.1	5.59612179275153
TC01000046.hg.1	6.92890440983346
TC01000047.hg.1	6.65191251075188
TC01000048.hg.1	6.65635478669877
TC01000049.hg.1	5.43597788531634
TC01000050.hg.1	6.45713821514265
TC01000051.hg.1	6.29241245063461
TC01000052.hg.1	6.27245337674692
TC01000053.hg.1	6.08894485003279
TC01000054.hg.1	6.56373702084815
TC01000055.hg.1	5.8169754442131
TC01000056.hg.1	6.11082036671485
TC01000057.hg.1	7.29950598227591
TC01000058.hg.1	7.27043451106952
TC01000059.hg.1	5.83927588221605
TC01000060.hg.1	6.27059433555823
TC01000061.hg.1	6.78395224507415
TC01000062.hg.1	6.02886582043105
TC01000063.hg.1	3.75830328876288
TC01000064.hg.1	6.59727721796949
TC01000065.hg.1	4.75453867597567
TC01000066.hg.1	5.72353176845142
TC01000067.hg.1	6.02421279335884
TC01000068.hg.1	2.58297887782816
TC01000069.hg.1	6.03740681125345
TC01000070.hg.1	7.91646386015542
TC01000071.hg.1	6.3724989329502
TC01000072.hg.1	5.507829565337
TC01000073.hg.1	6.88647928539436
TC01000074.hg.1	6.42551086563499
TC01000075.hg.1	4.77520534951386
TC01000076.hg.1	4.46918261930118
TC01000077.hg.1	4.02882901561269
