ID_REF	VALUE
TC01000001.hg.1	5.59851159739587
TC01000002.hg.1	5.06761217834372
TC01000003.hg.1	3.4020706831145
TC01000004.hg.1	3.6257454467411
TC01000005.hg.1	7.97054224423716
TC01000006.hg.1	10.9417507114107
TC01000007.hg.1	10.4619321028237
TC01000008.hg.1	6.93258852691946
TC01000009.hg.1	3.08804826511773
TC01000010.hg.1	4.25187002225154
TC01000011.hg.1	5.84724476477301
TC01000012.hg.1	4.79140124642331
TC01000013.hg.1	8.56868464537638
TC01000014.hg.1	4.10133742268936
TC01000015.hg.1	5.66881148541082
TC01000016.hg.1	5.70479344412775
TC01000017.hg.1	5.26427081233074
TC01000018.hg.1	6.86050222013575
TC01000019.hg.1	6.26649851487718
TC01000020.hg.1	6.71733048518976
TC01000021.hg.1	6.36138671513142
TC01000022.hg.1	6.57276249824129
TC01000023.hg.1	6.6816189250912
TC01000024.hg.1	6.69663080970595
TC01000025.hg.1	6.96313321702351
TC01000026.hg.1	5.71558338202675
TC01000027.hg.1	5.205247048459
TC01000028.hg.1	3.22230225616648
TC01000029.hg.1	3.69251512026126
TC01000030.hg.1	6.2679236813798
TC01000031.hg.1	6.64896636824962
TC01000032.hg.1	6.37612743958964
TC01000033.hg.1	6.35935277910196
TC01000034.hg.1	6.89293216685753
TC01000035.hg.1	5.91678562125232
TC01000036.hg.1	6.28226075568549
TC01000037.hg.1	6.74936482170244
TC01000038.hg.1	6.88055777273818
TC01000039.hg.1	4.51306440487009
TC01000040.hg.1	6.97780357419537
TC01000041.hg.1	6.25809061771547
TC01000042.hg.1	6.72969288299144
TC01000043.hg.1	6.79805760401094
TC01000044.hg.1	5.17047997455319
TC01000045.hg.1	5.75938554845443
TC01000046.hg.1	6.92422494268992
TC01000047.hg.1	6.7103062375238
TC01000048.hg.1	6.58882794089196
TC01000049.hg.1	5.54897058586587
TC01000050.hg.1	6.36147759127645
TC01000051.hg.1	6.56252440740507
TC01000052.hg.1	6.39144891049462
TC01000053.hg.1	5.98098225499319
TC01000054.hg.1	6.61968667283283
TC01000055.hg.1	5.87971667859198
TC01000056.hg.1	5.80289412834239
